delivered_impression,datetime
294,2022-04-09T03:29:35Z
295,2022-04-09T03:30:04Z
295,2022-04-09T03:30:33Z
296,2022-04-09T03:31:02Z
297,2022-04-09T03:31:31Z
297,2022-04-09T03:32:00Z
298,2022-04-09T03:32:29Z
299,2022-04-09T03:32:58Z
300,2022-04-09T03:33:27Z
300,2022-04-09T03:33:56Z
301,2022-04-09T03:34:25Z
302,2022-04-09T03:34:55Z
302,2022-04-09T03:35:24Z
303,2022-04-09T03:35:53Z
304,2022-04-09T03:36:22Z
305,2022-04-09T03:36:51Z
305,2022-04-09T03:37:20Z
306,2022-04-09T03:37:49Z
307,2022-04-09T03:38:18Z
307,2022-04-09T03:38:47Z
308,2022-04-09T03:39:16Z
309,2022-04-09T03:39:45Z
310,2022-04-09T03:40:14Z
310,2022-04-09T03:40:43Z
311,2022-04-09T03:41:12Z
312,2022-04-09T03:41:41Z
313,2022-04-09T03:42:10Z
313,2022-04-09T03:42:39Z
313,2022-04-09T03:43:08Z
314,2022-04-09T03:43:37Z
315,2022-04-09T03:44:06Z
316,2022-04-09T03:44:35Z
317,2022-04-09T03:45:04Z
318,2022-04-09T03:45:33Z
319,2022-04-09T03:46:02Z
319,2022-04-09T03:46:31Z
320,2022-04-09T03:47:00Z
321,2022-04-09T03:47:29Z
321,2022-04-09T03:47:58Z
321,2022-04-09T03:48:27Z
322,2022-04-09T03:48:56Z
323,2022-04-09T03:49:25Z
324,2022-04-09T03:49:55Z
325,2022-04-09T03:50:24Z
326,2022-04-09T03:50:53Z
327,2022-04-09T03:51:22Z
327,2022-04-09T03:51:51Z
327,2022-04-09T03:52:20Z
328,2022-04-09T03:52:49Z
329,2022-04-09T03:53:18Z
330,2022-04-09T03:53:47Z
331,2022-04-09T03:54:16Z
331,2022-04-09T03:54:45Z
332,2022-04-09T03:55:14Z
333,2022-04-09T03:55:43Z
334,2022-04-09T03:56:12Z
334,2022-04-09T03:56:41Z
334,2022-04-09T03:57:10Z
335,2022-04-09T03:57:39Z
336,2022-04-09T03:58:08Z
337,2022-04-09T03:58:37Z
338,2022-04-09T03:59:06Z
339,2022-04-09T03:59:35Z
339,2022-04-09T04:00:04Z
340,2022-04-09T04:00:33Z
341,2022-04-09T04:01:02Z
341,2022-04-09T04:01:31Z
342,2022-04-09T04:02:00Z
343,2022-04-09T04:02:29Z
344,2022-04-09T04:02:58Z
344,2022-04-09T04:03:27Z
344,2022-04-09T04:03:56Z
345,2022-04-09T04:04:25Z
346,2022-04-09T04:04:55Z
347,2022-04-09T04:05:24Z
348,2022-04-09T04:05:53Z
349,2022-04-09T04:06:22Z
350,2022-04-09T04:06:51Z
350,2022-04-09T04:07:20Z
350,2022-04-09T04:07:49Z
351,2022-04-09T04:08:18Z
352,2022-04-09T04:08:47Z
353,2022-04-09T04:09:16Z
354,2022-04-09T04:09:45Z
355,2022-04-09T04:10:14Z
355,2022-04-09T04:10:43Z
355,2022-04-09T04:11:12Z
356,2022-04-09T04:11:41Z
357,2022-04-09T04:12:10Z
358,2022-04-09T04:12:33Z
359,2022-04-09T04:12:55Z
359,2022-04-09T04:13:18Z
359,2022-04-09T04:13:41Z
360,2022-04-09T04:14:03Z
361,2022-04-09T04:14:26Z
361,2022-04-09T04:14:48Z
361,2022-04-09T04:15:11Z
362,2022-04-09T04:15:34Z
363,2022-04-09T04:15:56Z
364,2022-04-09T04:16:19Z
364,2022-04-09T04:16:42Z
364,2022-04-09T04:17:04Z
365,2022-04-09T04:17:27Z
366,2022-04-09T04:17:50Z
366,2022-04-09T04:18:12Z
366,2022-04-09T04:18:35Z
367,2022-04-09T04:18:58Z
368,2022-04-09T04:19:20Z
369,2022-04-09T04:19:43Z
369,2022-04-09T04:20:05Z
369,2022-04-09T04:20:28Z
370,2022-04-09T04:20:51Z
371,2022-04-09T04:21:13Z
372,2022-04-09T04:21:36Z
372,2022-04-09T04:21:59Z
372,2022-04-09T04:22:21Z
372,2022-04-09T04:22:44Z
373,2022-04-09T04:23:07Z
374,2022-04-09T04:23:29Z
375,2022-04-09T04:23:52Z
375,2022-04-09T04:24:15Z
376,2022-04-09T04:24:37Z
376,2022-04-09T04:25:00Z
377,2022-04-09T04:25:22Z
378,2022-04-09T04:25:45Z
378,2022-04-09T04:26:08Z
378,2022-04-09T04:26:30Z
379,2022-04-09T04:26:53Z
380,2022-04-09T04:27:16Z
380,2022-04-09T04:27:38Z
380,2022-04-09T04:28:01Z
381,2022-04-09T04:28:24Z
382,2022-04-09T04:28:46Z
383,2022-04-09T04:29:09Z
383,2022-04-09T04:29:32Z
383,2022-04-09T04:29:54Z
384,2022-04-09T04:30:17Z
385,2022-04-09T04:30:39Z
386,2022-04-09T04:31:02Z
386,2022-04-09T04:31:25Z
386,2022-04-09T04:31:47Z
386,2022-04-09T04:32:10Z
387,2022-04-09T04:32:33Z
388,2022-04-09T04:32:55Z
389,2022-04-09T04:33:18Z
390,2022-04-09T04:33:41Z
390,2022-04-09T04:34:03Z
390,2022-04-09T04:34:26Z
390,2022-04-09T04:34:48Z
391,2022-04-09T04:35:11Z
392,2022-04-09T04:35:34Z
393,2022-04-09T04:35:56Z
394,2022-04-09T04:36:19Z
394,2022-04-09T04:36:42Z
394,2022-04-09T04:37:04Z
394,2022-04-09T04:37:27Z
395,2022-04-09T04:37:50Z
396,2022-04-09T04:38:12Z
397,2022-04-09T04:38:35Z
397,2022-04-09T04:38:58Z
397,2022-04-09T04:39:20Z
398,2022-04-09T04:39:43Z
399,2022-04-09T04:40:05Z
400,2022-04-09T04:40:28Z
400,2022-04-09T04:40:51Z
400,2022-04-09T04:41:13Z
400,2022-04-09T04:41:36Z
401,2022-04-09T04:41:59Z
402,2022-04-09T04:42:21Z
403,2022-04-09T04:42:44Z
404,2022-04-09T04:43:07Z
404,2022-04-09T04:43:29Z
404,2022-04-09T04:43:52Z
405,2022-04-09T04:44:15Z
406,2022-04-09T04:44:37Z
406,2022-04-09T04:45:00Z
406,2022-04-09T04:45:22Z
407,2022-04-09T04:45:45Z
408,2022-04-09T04:46:08Z
408,2022-04-09T04:46:30Z
409,2022-04-09T04:46:53Z
409,2022-04-09T04:47:16Z
410,2022-04-09T04:47:38Z
411,2022-04-09T04:48:01Z
411,2022-04-09T04:48:24Z
411,2022-04-09T04:48:46Z
412,2022-04-09T04:49:09Z
413,2022-04-09T04:49:32Z
414,2022-04-09T04:49:54Z
414,2022-04-09T04:50:17Z
414,2022-04-09T04:50:39Z
415,2022-04-09T04:51:02Z
416,2022-04-09T04:51:25Z
416,2022-04-09T04:51:47Z
416,2022-04-09T04:52:10Z
