market,ad_network,os,slot,format,page,revenue,placement_name
BR,gam,android,related,native,article,70.766246,am-android-article-related-native-br-exp-low
BR,gam,android,related,native,article,120.057918,am-android-article-related-native-br-exp-medium
CA,gam,android,related,native,article,19.395337,am-android-article-related-native-ca-ctl-high
CA,gam,android,related,native,article,14.70295,am-android-article-related-native-ca-ctl-low
CA,gam,android,related,native,article,15.054561,am-android-article-related-native-ca-ctl-medium
CA,gam,android,related,native,article,57.002132,am-android-article-related-native-ca-exp-high
CA,gam,android,related,native,article,30.280391,am-android-article-related-native-ca-exp-low
CA,gam,android,related,native,article,31.132622,am-android-article-related-native-ca-exp-medium
US,gam,android,related,native,article,282.39522,am-android-article-related-native-cf-1-ds-high
US,gam,android,related,native,article,221.027394,am-android-article-related-native-cf-1-high
US,gam,android,related,native,article,261.521615,am-android-article-related-native-cf-1-low
US,gam,android,related,native,article,137.559317,am-android-article-related-native-cf-1-medium
US,gam,android,related,native,article,279.93049,am-android-article-related-native-cf-2-ds-high
US,gam,android,related,native,article,220.548026,am-android-article-related-native-cf-2-high
US,gam,android,related,native,article,258.606654,am-android-article-related-native-cf-2-low
US,gam,android,related,native,article,153.835814,am-android-article-related-native-cf-2-medium
CL,gam,android,related,native,article,37.143944,am-android-article-related-native-cl-exp-high
CL,gam,android,related,native,article,9.920234,am-android-article-related-native-cl-exp-low
CL,gam,android,related,native,article,39.478801,am-android-article-related-native-cl-exp-medium
CO,gam,android,related,native,article,28.656564,am-android-article-related-native-co-exp-high
CO,gam,android,related,native,article,35.153196,am-android-article-related-native-co-exp-low
CO,gam,android,related,native,article,45.362714,am-android-article-related-native-co-exp-medium
DE,gam,android,related,native,article,49.931902,am-android-article-related-native-de-exp-high
DE,gam,android,related,native,article,40.758717,am-android-article-related-native-de-exp-low
DE,gam,android,related,native,article,45.173829,am-android-article-related-native-de-exp-medium
US,gam,android,related,native,article,58706.17604,am-android-article-related-native-ds-high
US,gam,android,related,native,article,2717.215,am-android-article-related-native-ds-low
US,gam,android,related,native,article,379.959607,am-android-article-related-native-dslt-ctrl-high
US,gam,android,related,native,article,296.643139,am-android-article-related-native-dslt-ctrl-low
US,gam,android,related,native,article,246.371567,am-android-article-related-native-dslt-ctrl-medium
US,gam,android,related,native,article,429.03132,am-android-article-related-native-dslt-exp-ds-high
US,gam,android,related,native,article,194.883002,am-android-article-related-native-dslt-exp-high
US,gam,android,related,native,article,183.920321,am-android-article-related-native-dslt-exp-low
US,gam,android,related,native,article,173.500748,am-android-article-related-native-dslt-exp-medium
FR,gam,android,related,native,article,9.031076,am-android-article-related-native-fr-exp-high
FR,gam,android,related,native,article,10.80477,am-android-article-related-native-fr-exp-low
FR,gam,android,related,native,article,8.171344,am-android-article-related-native-fr-exp-medium
US,gam,android,related,native,article,0.148259,am-android-article-related-native-high-exp
US,gam,android,related,native,article,0.141817,am-android-article-related-native-high-exp2
US,gam,android,related,native,article,0.0512,am-android-article-related-native-high-exp3
US,gam,android,related,native,article,28566.798187,am-android-article-related-native-high-exp4
US,gam,android,related,native,article,1.232826,am-android-article-related-native-high-exp5
US,gam,android,related,native,article,2.001728,am-android-article-related-native-high-exp6
US,gam,android,related,native,article,540.306956,am-android-article-related-native-ib-ctrl-high2
US,gam,android,related,native,article,232.233942,am-android-article-related-native-ib-ctrl-low2
US,gam,android,related,native,article,639.102864,am-android-article-related-native-ib-ctrl-medium2
US,gam,android,related,native,article,30223.835902,am-android-article-related-native-ib-high2
US,gam,android,related,native,article,29557.541026,am-android-article-related-native-ib-low2
US,gam,android,related,native,article,32188.662742,am-android-article-related-native-ib-medium2
US,gam,android,related,native,article,11.815029,am-android-article-related-native-ibdd-ctrl-high
US,gam,android,related,native,article,5.175495,am-android-article-related-native-ibdd-ctrl-low
US,gam,android,related,native,article,4.291008,am-android-article-related-native-ibdd-ctrl-medium
US,gam,android,related,native,article,265.037408,am-android-article-related-native-ibdd-ctrl2-high
US,gam,android,related,native,article,246.751611,am-android-article-related-native-ibdd-ctrl2-low
US,gam,android,related,native,article,143.944469,am-android-article-related-native-ibdd-ctrl2-medium
US,gam,android,related,native,article,261.215282,am-android-article-related-native-ibdd-ctrl3-high
US,gam,android,related,native,article,183.047531,am-android-article-related-native-ibdd-ctrl3-low
US,gam,android,related,native,article,146.935585,am-android-article-related-native-ibdd-ctrl3-medium
US,gam,android,related,native,article,8.916843,am-android-article-related-native-ibdd-exp-high
US,gam,android,related,native,article,4.64362,am-android-article-related-native-ibdd-exp-low
US,gam,android,related,native,article,3.877578,am-android-article-related-native-ibdd-exp-medium
US,gam,android,related,native,article,265.176643,am-android-article-related-native-ibdd-exp-new-pf-high
US,gam,android,related,native,article,180.152767,am-android-article-related-native-ibdd-exp-new-pf-low
US,gam,android,related,native,article,130.277887,am-android-article-related-native-ibdd-exp-new-pf-medium
US,gam,android,related,native,article,228.626294,am-android-article-related-native-ibdd-exp-old-pf-high
US,gam,android,related,native,article,191.175688,am-android-article-related-native-ibdd-exp-old-pf-low
US,gam,android,related,native,article,108.276891,am-android-article-related-native-ibdd-exp-old-pf-medium
US,gam,android,related,native,article,218.413434,am-android-article-related-native-ibdd-exp2-high
US,gam,android,related,native,article,203.538494,am-android-article-related-native-ibdd-exp2-low
US,gam,android,related,native,article,111.00501,am-android-article-related-native-ibdd-exp2-medium
US,gam,android,related,native,article,0.374691,am-android-article-related-native-ibro-ctrl-high
US,gam,android,related,native,article,0.047987,am-android-article-related-native-ibro-ctrl-low
US,gam,android,related,native,article,0.33777,am-android-article-related-native-ibro-ctrl-medium
US,gam,android,related,native,article,0.064288,am-android-article-related-native-ibro-exp-high
US,gam,android,related,native,article,0.021209,am-android-article-related-native-ibro-exp-low
US,gam,android,related,native,article,0.016464,am-android-article-related-native-ibro-exp-medium
US,gam,android,related,native,article,0.195202,am-android-article-related-native-ibro-waterfall-high
US,gam,android,related,native,article,0.095453,am-android-article-related-native-ibro-waterfall-low
US,gam,android,related,native,article,0.220896,am-android-article-related-native-ibro-waterfall-medium
ID,gam,android,related,native,article,17.94607,am-android-article-related-native-id-exp-high
ID,gam,android,related,native,article,11.008383,am-android-article-related-native-id-exp-low
ID,gam,android,related,native,article,7.253838,am-android-article-related-native-id-exp-medium
IT,gam,android,related,native,article,147.536085,am-android-article-related-native-it-exp-high
IT,gam,android,related,native,article,181.17324,am-android-article-related-native-it-exp-low
IT,gam,android,related,native,article,126.696714,am-android-article-related-native-it-exp-medium
JP,gam,android,related,native,article,112.806101,am-android-article-related-native-jp-ctl-high
JP,gam,android,related,native,article,54.870111,am-android-article-related-native-jp-ctl-low
JP,gam,android,related,native,article,93.00733,am-android-article-related-native-jp-ctl-medium
JP,gam,android,related,native,article,0.914404,am-android-article-related-native-jp-exp-high
JP,gam,android,related,native,article,0.061733,am-android-article-related-native-jp-exp-low
JP,gam,android,related,native,article,0.136001,am-android-article-related-native-jp-exp-medium
JP,gam,android,related,native,article,665.690398,am-android-article-related-native-jp-exp2-high
JP,gam,android,related,native,article,351.755948,am-android-article-related-native-jp-exp2-low
JP,gam,android,related,native,article,426.451878,am-android-article-related-native-jp-exp2-medium
KR,gam,android,related,native,article,335.144037,am-android-article-related-native-kr-ctl-high
KR,gam,android,related,native,article,372.225418,am-android-article-related-native-kr-ctl-low
KR,gam,android,related,native,article,293.27988,am-android-article-related-native-kr-ctl-medium
,,,,,,137.916824,am-android-article-related-native-kr-exp-high
,,,,,,240.720258,am-android-article-related-native-kr-exp-low
,,,,,,200.152629,am-android-article-related-native-kr-exp-medium
US,gam,android,related,native,article,0.073501,am-android-article-related-native-low-exp
US,gam,android,related,native,article,0.00448,am-android-article-related-native-low-exp2
US,gam,android,related,native,article,8598.041103,am-android-article-related-native-low-exp4
US,gam,android,related,native,article,0.277266,am-android-article-related-native-low-exp5
US,gam,android,related,native,article,0.478064,am-android-article-related-native-low-exp6
US,gam,android,related,native,article,0.129726,am-android-article-related-native-medium-exp
US,gam,android,related,native,article,0.097928,am-android-article-related-native-medium-exp2
US,gam,android,related,native,article,0.013815,am-android-article-related-native-medium-exp3
US,gam,android,related,native,article,34881.438718,am-android-article-related-native-medium-exp4
US,gam,android,related,native,article,0.289042,am-android-article-related-native-medium-exp5
US,gam,android,related,native,article,0.372917,am-android-article-related-native-medium-exp6
MX,gam,android,related,native,article,383.181939,am-android-article-related-native-mx-exp-high
MX,gam,android,related,native,article,254.834644,am-android-article-related-native-mx-exp-low
MX,gam,android,related,native,article,247.903104,am-android-article-related-native-mx-exp-medium
NL,gam,android,related,native,article,31.481206,am-android-article-related-native-nl-exp-high
NL,gam,android,related,native,article,26.464152,am-android-article-related-native-nl-exp-low
NL,gam,android,related,native,article,47.715749,am-android-article-related-native-nl-exp-medium
US,gam,android,related,native,article,278.29247,am-android-article-related-native-nus-2-ds-high
US,gam,android,related,native,article,205.04501,am-android-article-related-native-nus-2-high
US,gam,android,related,native,article,112.422818,am-android-article-related-native-nus-2-low
US,gam,android,related,native,article,171.781786,am-android-article-related-native-nus-2-medium
US,gam,android,related,native,article,277.57549,am-android-article-related-native-nus-3-ds-high
US,gam,android,related,native,article,215.887035,am-android-article-related-native-nus-3-high
US,gam,android,related,native,article,127.694259,am-android-article-related-native-nus-3-low
US,gam,android,related,native,article,133.462828,am-android-article-related-native-nus-3-medium
US,gam,android,related,native,article,271.5623,am-android-article-related-native-nus-ctrl-ds-high
US,gam,android,related,native,article,151.49822,am-android-article-related-native-nus-ctrl-high
US,gam,android,related,native,article,109.98729,am-android-article-related-native-nus-ctrl-low
US,gam,android,related,native,article,136.440216,am-android-article-related-native-nus-ctrl-medium
PE,gam,android,related,native,article,6.491694,am-android-article-related-native-pe-exp-high
PE,gam,android,related,native,article,6.222122,am-android-article-related-native-pe-exp-low
PE,gam,android,related,native,article,11.133241,am-android-article-related-native-pe-exp-medium
PL,gam,android,related,native,article,8.665223,am-android-article-related-native-pl-exp-high
PL,gam,android,related,native,article,8.192224,am-android-article-related-native-pl-exp-low
PL,gam,android,related,native,article,6.722555,am-android-article-related-native-pl-exp-medium
TR,gam,android,related,native,article,9.727859,am-android-article-related-native-tr-exp-high
TR,gam,android,related,native,article,14.785889,am-android-article-related-native-tr-exp-low
TR,gam,android,related,native,article,11.819459,am-android-article-related-native-tr-exp-medium
GB,gam,android,related,native,article,28.870948,am-android-article-related-native-uk-ctl-high
GB,gam,android,related,native,article,26.457374,am-android-article-related-native-uk-ctl-low
GB,gam,android,related,native,article,27.823514,am-android-article-related-native-uk-ctl-medium
GB,gam,android,related,native,article,306.245071,am-android-article-related-native-uk-exp-high
GB,gam,android,related,native,article,263.448894,am-android-article-related-native-uk-exp-low
GB,gam,android,related,native,article,252.387779,am-android-article-related-native-uk-exp-medium
AR,gam,android,top,display,article,37.084862,am-android-article-top-display-ar-exp-high
AR,gam,android,top,display,article,95.551115,am-android-article-top-display-ar-exp-low
AR,gam,android,top,display,article,52.949136,am-android-article-top-display-ar-exp-medium
AT,gam,android,top,display,article,3.063608,am-android-article-top-display-at-exp-high
AT,gam,android,top,display,article,8.061748,am-android-article-top-display-at-exp-low
AT,gam,android,top,display,article,5.524428,am-android-article-top-display-at-exp-medium
AU,gam,android,top,display,article,24.726326,am-android-article-top-display-au-exp-high
AU,gam,android,top,display,article,66.439807,am-android-article-top-display-au-exp-low
AU,gam,android,top,display,article,47.70529,am-android-article-top-display-au-exp-medium
US,gam,android,top,display,article,328.187502,am-android-article-top-display-bannertune-ctrl-high
US,gam,android,top,display,article,321.16108,am-android-article-top-display-bannertune-ctrl-low
US,gam,android,top,display,article,341.310136,am-android-article-top-display-bannertune-ctrl-medium
US,gam,android,top,display,article,304.834185,am-android-article-top-display-bannertune-exp-high
US,gam,android,top,display,article,332.024041,am-android-article-top-display-bannertune-exp-low
US,gam,android,top,display,article,293.604513,am-android-article-top-display-bannertune-exp-medium
BR,gam,android,top,display,article,763.936329,am-android-article-top-display-br-dedupe-high
BR,gam,android,top,display,article,906.960616,am-android-article-top-display-br-dedupe-low
BR,gam,android,top,display,article,585.010231,am-android-article-top-display-br-dedupe-medium
BR,gam,android,top,display,article,72.850128,am-android-article-top-display-br-exp-high
BR,gam,android,top,display,article,56.547304,am-android-article-top-display-br-exp-higher
BR,gam,android,top,display,article,45.170729,am-android-article-top-display-br-exp-medium
CA,gam,android,top,display,article,5.584177,am-android-article-top-display-ca-ctl-high
CA,gam,android,top,display,article,22.287938,am-android-article-top-display-ca-ctl-low
CA,gam,android,top,display,article,17.977322,am-android-article-top-display-ca-ctl-medium
CA,gam,android,top,display,article,135.998682,am-android-article-top-display-ca-exp-high
CA,gam,android,top,display,article,301.502034,am-android-article-top-display-ca-exp-low
CA,gam,android,top,display,article,201.66142,am-android-article-top-display-ca-exp-medium
CL,gam,android,top,display,article,125.799488,am-android-article-top-display-cl-exp-high
CL,gam,android,top,display,article,42.325451,am-android-article-top-display-cl-exp-low
CL,gam,android,top,display,article,64.40037,am-android-article-top-display-cl-exp-medium
CO,gam,android,top,display,article,154.408605,am-android-article-top-display-co-exp-high
