ad_unit_name,market,ad_network,os,slot,format,page
gam360-android-article-inside-native-ob-prod-low,US,gam360,android,inside,native,article
gam360-android-article-inside-native-ob-prod-medium,US,gam360,android,inside,native,article
fb-android-article-inside-native-obwaterfall-ctrl-high,US,fb,android,inside,native,article
fb-android-article-inside-native-obwaterfall-ctrl-low,US,fb,android,inside,native,article
fb-android-article-inside-native-obwaterfall-ctrl-medium,US,fb,android,inside,native,article
am-android-article-inside-native-obwaterfall-ctrl-high,US,gam,android,inside,native,article
am-android-article-inside-native-obwaterfall-ctrl-low,US,gam,android,inside,native,article
am-android-article-inside-native-obwaterfall-ctrl-medium,US,gam,android,inside,native,article
am-android-article-inside-display-obwaterfall-ctrl-high,US,gam,android,inside,display,article
am-android-article-inside-display-obwaterfall-ctrl-low,US,gam,android,inside,display,article
am-android-article-inside-display-obwaterfall-ctrl-medium,US,gam,android,inside,display,article
fb-android-article-inside-native-obwaterfall-exp-high,US,fb,android,inside,native,article
fb-android-article-inside-native-obwaterfall-exp-low,US,fb,android,inside,native,article
fb-android-article-inside-native-obwaterfall-exp-medium,US,fb,android,inside,native,article
gam360-android-article-inside-native-obwaterfall-exp-high,US,gam360,android,inside,native,article
gam360-android-article-inside-native-obwaterfall-exp-low,US,gam360,android,inside,native,article
gam360-android-article-inside-native-obwaterfall-exp-medium,US,gam360,android,inside,native,article
am-android-article-inside-display-obwaterfall-exp-high,US,gam,android,inside,display,article
am-android-article-inside-display-obwaterfall-exp-low,US,gam,android,inside,display,article
am-android-article-inside-display-obwaterfall-exp-medium,US,gam,android,inside,display,article
am-ios-foryou-large-native-ds-pf-control,US,gam,ios,large,native,foryou
am-ios-foryou-large-native-ds-pf-new,US,gam,ios,large,native,foryou
am-android-foryou-large-native-ds-high,US,gam,android,large,native,foryou
am-android-article-related-native-ds-high,US,gam,android,related,native,article
fb-android-article-inside-native-obib-ob-high,US,fb,android,inside,native,article
fb-android-article-inside-native-obib-ob-low,US,fb,android,inside,native,article
fb-android-article-inside-native-obib-ob-medium,US,fb,android,inside,native,article
gam360-android-article-inside-native-obib-ob-high,US,gam360,android,inside,native,article
gam360-android-article-inside-native-obib-ob-low,US,gam360,android,inside,native,article
gam360-android-article-inside-native-obib-ob-medium,US,gam360,android,inside,native,article
am-android-article-inside-display-obib-ob-high,US,gam,android,inside,display,article
am-android-article-inside-display-obib-ob-low,US,gam,android,inside,display,article
am-android-article-inside-display-obib-ob-medium,US,gam,android,inside,display,article
fb-android-article-inside-native-obib-ib,US,fb,android,inside,native,article
am-android-article-inside-native-obib-ib-high,US,gam,android,inside,native,article
am-android-article-inside-native-obib-ib-low,US,gam,android,inside,native,article
am-android-article-inside-native-obib-ib-medium,US,gam,android,inside,native,article
am-android-article-inside-display-obib-ib-high,US,gam,android,inside,display,article
am-android-article-inside-display-obib-ib-low,US,gam,android,inside,display,article
am-android-article-inside-display-obib-ib-medium,US,gam,android,inside,display,article
fb-ios-article-related-native-dedup-control,US,fb,ios,related,native,article
am-ios-article-related-native-high-dedup-control,US,gam,ios,related,native,article
am-ios-article-related-native-medium-dedup-control,US,gam,ios,related,native,article
am-ios-article-related-native-low-dedup-control,US,gam,ios,related,native,article
fb-ios-article-related-native-dedup-exp,US,fb,ios,related,native,article
am-ios-article-related-native-high-dedup-exp,US,gam,ios,related,native,article
am-ios-article-related-native-medium-dedup-exp,US,gam,ios,related,native,article
am-ios-article-related-native-low-dedup-exp,US,gam,ios,related,native,article
fb-ios-foryou-small-native-it-exp,IT,fb,ios,small,native,foryou
am-ios-foryou-small-native-it-exp-high,IT,gam,ios,small,native,foryou
