advertiser,ad_unit,ad_ctr,revenue,impressions,ecpm
Adobe Systems,21839579524 » am-android-foryou-large-ib-low,0.14%,2.22,731,3.04
Adobe Systems,21839579524 » am-android-foryou-large-ib-medium,0.15%,3.42,671,5.10
Adorama,21839579524 » am-android-foryou-large-ib-high,1.80%,12.26,998,12.29
Adorama,21839579524 » am-android-foryou-large-ib-low,0.72%,5.20,"1,673",3.11
Adorama,21839579524 » am-android-foryou-large-ib-medium,0.61%,8.55,"1,639",5.22
Adore Beauty,21839579524 » am-android-foryou-large-ib-high,0.00%,0.42,29,14.35
Adore Beauty,21839579524 » am-android-foryou-large-ib-low,0.00%,0.26,86,3.06
Adore Beauty,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.43,76,5.67
Adore Me,21839579524 » am-android-foryou-large-ib-high,4.76%,0.25,21,12.01
Adore Me,21839579524 » am-android-foryou-large-ib-low,1.28%,0.24,78,3.01
Adore Me,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.27,54,5.04
Adtalem Global Education,21839579524 » am-android-foryou-large-ib-high,0.19%,7.68,532,14.43
Adtalem Global Education,21839579524 » am-android-foryou-large-ib-low,0.34%,6.94,"2,055",3.38
Adtalem Global Education,21839579524 » am-android-foryou-large-ib-medium,0.18%,6.96,"1,120",6.22
Advance Create,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
Advance Publications,21839579524 » am-android-foryou-large-ib-high,4.92%,1.67,122,13.68
Advance Publications,21839579524 » am-android-foryou-large-ib-low,0.65%,5.16,"1,681",3.07
Advance Publications,21839579524 » am-android-foryou-large-ib-medium,2.42%,4.51,869,5.19
Advanced Micro Devices,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.26
Advantage Pilot Technology,21839579524 » am-android-foryou-large-ib-high,0.31%,392.58,"32,145",12.21
Advantage Pilot Technology,21839579524 » am-android-foryou-large-ib-low,0.17%,153.91,"50,400",3.05
Advantage Pilot Technology,21839579524 » am-android-foryou-large-ib-medium,0.23%,278.78,"54,836",5.08
Advanzia Bank,21839579524 » am-android-foryou-large-ib-high,0.00%,0.04,3,12.00
Advanzia Bank,21839579524 » am-android-foryou-large-ib-low,0.00%,0.06,19,3.05
Advanzia Bank,21839579524 » am-android-foryou-large-ib-medium,14.29%,0.04,7,5.00
Advent International,21839579524 » am-android-foryou-large-ib-high,4.17%,1.74,144,12.09
Advent International,21839579524 » am-android-foryou-large-ib-low,0.71%,1.28,425,3.02
Advent International,21839579524 » am-android-foryou-large-ib-medium,1.28%,1.57,312,5.04
AdventHealth,21839579524 » am-android-foryou-large-ib-low,0.00%,0.30,66,4.48
AdventHealth,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.13,23,5.53
Adventist Health System,21839579524 » am-android-foryou-large-ib-high,0.77%,107.40,"8,718",12.32
Adventist Health System,21839579524 » am-android-foryou-large-ib-low,0.29%,18.18,"5,875",3.09
Adventist Health System,21839579524 » am-android-foryou-large-ib-medium,0.23%,39.33,"7,668",5.13
Adventure Co,21839579524 » am-android-foryou-large-ib-high,0.00%,0.04,3,12.00
Adventure Co,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,4,3.00
Adventures On The Gorge,21839579524 » am-android-foryou-large-ib-high,0.00%,0.26,22,12.01
Adventures On The Gorge,21839579524 » am-android-foryou-large-ib-low,0.00%,0.04,12,3.01
Adventures On The Gorge,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.19,38,5.01
Advocate Health Care,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
Aeon,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
Aeroflow,21839579524 » am-android-foryou-large-ib-high,0.00%,0.79,66,12.01
Aeroflow,21839579524 » am-android-foryou-large-ib-low,0.23%,1.32,433,3.06
Aeroflow,21839579524 » am-android-foryou-large-ib-medium,0.51%,0.99,197,5.02
Aetrex Worldwide,21839579524 » am-android-foryou-large-ib-high,2.53%,15.86,"1,188",13.35
Aetrex Worldwide,21839579524 » am-android-foryou-large-ib-low,0.84%,7.19,"2,275",3.16
