delivered_impression,timestamp
12149,1649346317
12150,1649346325
12150,1649346333
12150,1649346341
12150,1649346349
12151,1649346357
12151,1649346366
12151,1649346374
12151,1649346382
12151,1649346390
12151,1649346398
12152,1649346406
12152,1649346414
12152,1649346422
12152,1649346430
12153,1649346438
12153,1649346446
12153,1649346454
12153,1649346463
12153,1649346471
12153,1649346479
12154,1649346487
12154,1649346495
12154,1649346503
12154,1649346511
12155,1649346519
12155,1649346527
12155,1649346535
12155,1649346543
12155,1649346552
12155,1649346560
12156,1649346568
12156,1649346576
12156,1649346584
12156,1649346592
12157,1649346600
12157,1649346608
12157,1649346616
12157,1649346624
12157,1649346632
12157,1649346641
12158,1649346649
12158,1649346657
12158,1649346665
12158,1649346673
12159,1649346681
12159,1649346689
12159,1649346697
12159,1649346705
12159,1649346713
12159,1649346721
12160,1649346730
12160,1649346738
12160,1649346746
12160,1649346754
12161,1649346762
12161,1649346770
12161,1649346778
12161,1649346786
12161,1649346794
12161,1649346802
12162,1649346810
12162,1649346819
12162,1649346827
12162,1649346835
12163,1649346843
12163,1649346851
12163,1649346859
12163,1649346867
12163,1649346875
12164,1649346883
12164,1649346891
12164,1649346899
12164,1649346908
12164,1649346916
12164,1649346924
12165,1649346932
12165,1649346940
12165,1649346948
12165,1649346956
12166,1649346964
12166,1649346972
12166,1649346980
12166,1649346988
12166,1649346997
12166,1649347005
12167,1649347013
12168,1649347021
12168,1649347029
12168,1649347037
12168,1649347045
12168,1649347053
12168,1649347061
12168,1649347069
12168,1649347077
12168,1649347086
12168,1649347094
12168,1649347102
12169,1649347110
12170,1649347118
12170,1649347126
12170,1649347134
12170,1649347142
12170,1649347150
12170,1649347158
12170,1649347166
12170,1649347174
12171,1649347183
12172,1649347191
12172,1649347199
12172,1649347207
12172,1649347215
12172,1649347223
12172,1649347231
12172,1649347239
12172,1649347247
12172,1649347255
12173,1649347263
12173,1649347272
12173,1649347280
12174,1649347288
12174,1649347296
12174,1649347304
12174,1649347312
12174,1649347320
12174,1649347328
12175,1649347336
12175,1649347344
12175,1649347352
12175,1649347361
12176,1649347369
12176,1649347377
12176,1649347385
12176,1649347393
12176,1649347401
12177,1649347409
12177,1649347417
12177,1649347425
12177,1649347433
12177,1649347441
12178,1649347450
12178,1649347458
12178,1649347466
12178,1649347474
12178,1649347482
12179,1649347490
